,Date,Low,High,Close,Open
4230,2022-08-03,493.2,512.0,512.0,495.2
4229,2022-08-02,485.0,506.0,491.0,505.0
4228,2022-08-01,490.4,511.5,505.5,502.5
4227,2022-07-29,485.0,511.0,506.0,494.8
4226,2022-07-28,462.2,495.0,493.4,462.2
4225,2022-07-27,442.4,466.4,464.4,442.4
4224,2022-07-26,451.1001,464.2,452.4,455.0
4223,2022-07-25,455.8,479.2,455.8,476.8
4222,2022-07-22,462.5506,483.6,470.2,467.4
4221,2022-07-21,444.4,466.2,465.2,450.0
4220,2022-07-20,440.6,450.6,446.6,450.6
4219,2022-07-19,432.0,452.2,440.8,445.0
4218,2022-07-18,442.8,452.0,449.0,445.0
4217,2022-07-15,427.2,441.0,440.4,440.0
4216,2022-07-14,424.0,439.8,429.0,431.6
4215,2022-07-13,425.8,440.2,432.4,432.4
4214,2022-07-12,422.0,435.8,431.0,431.2
4213,2022-07-11,428.0,440.4,432.0,428.0
4212,2022-07-08,422.2,439.6,438.6,430.0
4211,2022-07-07,420.0,432.8,429.4,420.0
4210,2022-07-06,387.2,418.2,418.2,387.2
4209,2022-07-05,383.0,398.4,386.2,391.0
4208,2022-07-04,386.6,413.7499,389.2,404.0
4207,2022-07-01,395.0,416.2,404.0,399.8
4206,2022-06-30,391.2,424.4041,398.0,414.8
4205,2022-06-29,432.0,448.8,443.0,435.0
4204,2022-06-28,443.2,454.8,443.2,446.0
4203,2022-06-27,434.0,453.6,446.8,434.0
4202,2022-06-24,435.4,447.4,445.0,435.4
4201,2022-06-23,428.8,461.0,433.4,461.0
4200,2022-06-22,422.6,444.2,443.2,426.8
4199,2022-06-21,426.8,439.2,433.8,430.0
4198,2022-06-20,426.8,444.6,430.0,430.0
4197,2022-06-17,414.7,444.0,441.0,416.0
4196,2022-06-16,405.4,491.99,415.0,491.0
4195,2022-06-15,481.0,492.8,489.4,490.4
4194,2022-06-14,481.8,514.5,487.2,514.5
4193,2022-06-13,485.0,511.0,491.4,511.0
4192,2022-06-10,511.5,527.5,513.5,525.0
4191,2022-06-09,529.0,557.0,530.5,557.0
4190,2022-06-08,541.0,550.5,542.5,544.5
4189,2022-06-07,541.0,559.5,545.5,554.5
4188,2022-06-06,544.5,563.0,556.5,562.0
4187,2022-06-01,546.5,565.0,549.5,561.0
4186,2022-05-31,547.0,563.0,556.0,551.0
4185,2022-05-30,557.5,574.0,562.5,565.0
4184,2022-05-27,535.0,570.5,561.0,535.0
4183,2022-05-26,540.0,556.5,551.0,540.0
4182,2022-05-25,514.0,554.0,548.5,538.0
4181,2022-05-24,529.5,550.0,535.0,550.0
4180,2022-05-23,530.46,543.5,541.0,541.5
4179,2022-05-20,509.5,535.0,526.5,513.0
4178,2022-05-19,507.0,520.0,512.0,507.0
4177,2022-05-18,518.5,553.0,521.0,553.0
4176,2022-05-17,538.0,560.0,545.5,541.0
4175,2022-05-16,528.5,568.0,542.5,568.0
4174,2022-05-13,524.5,543.5,540.5,528.5
4173,2022-05-12,499.4,527.0,523.5,505.0
4172,2022-05-11,505.5,528.0,526.0,513.5
4171,2022-05-10,500.0,524.6706,506.5,500.0
4170,2022-05-09,499.2,517.0,499.4,515.5
4169,2022-05-06,509.0,531.2425,519.0,524.0
4168,2022-05-05,530.0,552.0,532.5,545.5
4167,2022-05-04,536.5,575.5,536.5,575.5
4166,2022-05-03,570.0,596.0,573.5,580.0
4165,2022-04-29,576.5,588.0,583.5,582.0
4164,2022-04-28,561.0,579.0,576.5,569.5
4163,2022-04-27,556.0,581.8658,562.0,575.0
4162,2022-04-26,573.0,607.5,576.5,607.5
4161,2022-04-25,595.5,618.0,604.0,613.0
4160,2022-04-22,611.0,647.5,625.0,611.0
4159,2022-04-21,590.5,662.5,642.0,595.5
4158,2022-04-20,560.5,572.5,570.5,562.0
4157,2022-04-19,548.5,579.0,564.0,567.0
4156,2022-04-14,570.5,586.5,574.5,570.5
4155,2022-04-13,560.0,575.0,573.0,563.0
4154,2022-04-12,555.0,569.0,566.0,561.0
4153,2022-04-11,553.5,573.0,563.0,572.5
4152,2022-04-08,561.0,573.0,573.0,567.0
4151,2022-04-07,543.0,566.0,562.0,559.5
4150,2022-04-06,543.5,578.5,548.0,578.5
4149,2022-04-05,548.475,583.0,556.5,583.0
4148,2022-04-04,533.5,558.5,558.0,550.0
4147,2022-04-01,528.0,558.26,549.0,528.5
4146,2022-03-31,546.0,568.5,552.0,562.5
4145,2022-03-30,557.5,589.0,563.0,589.0
4144,2022-03-29,566.6,592.5,585.5,569.0
4143,2022-03-28,545.0,581.5,561.5,557.5
4142,2022-03-25,551.5,581.0,555.5,581.0
4141,2022-03-24,546.5,583.5,555.5,560.5
4140,2022-03-23,551.5,571.5,559.0,564.0
4139,2022-03-22,559.5,579.0,568.0,570.0
4138,2022-03-21,564.0,583.0,574.0,583.0
4137,2022-03-18,560.5,584.0,581.5,565.0
4136,2022-03-17,562.5,580.0,563.5,576.5
4135,2022-03-16,519.5,564.5,560.5,519.5
4134,2022-03-15,513.5,527.5,519.5,520.5
4133,2022-03-14,518.5,536.5,527.0,536.5
4132,2022-03-11,512.7378,531.0,523.0,522.5
4131,2022-03-10,516.3,536.5,521.5,529.5
4130,2022-03-09,507.5,533.5,530.5,507.5
4129,2022-03-08,504.0,530.0,507.5,518.5
4128,2022-03-07,498.8,531.0,521.0,521.5
4127,2022-03-04,518.5,566.0,523.0,559.5
4126,2022-03-03,555.5,583.325,564.5,555.5
4125,2022-03-02,567.5,599.5,575.0,568.0
4124,2022-03-01,558.0,581.0,573.0,559.0
4123,2022-02-28,534.5,586.0,566.0,559.5
4122,2022-02-25,545.0,582.5,560.0,558.0
4121,2022-02-24,536.0,566.0,552.0,550.0
4120,2022-02-23,571.0,590.5,571.0,580.0
4119,2022-02-22,569.0,588.5,582.5,578.5
4118,2022-02-21,582.5,595.5,585.0,584.0
4117,2022-02-18,578.9501,601.0605,583.5,597.0
4116,2022-02-17,600.0,613.5,602.0,605.5
4115,2022-02-16,600.0,615.0,608.0,600.0
4114,2022-02-15,600.0,617.5049,611.0,600.0
4113,2022-02-14,591.0,610.0,608.5,603.5
4112,2022-02-11,601.0,618.0,612.0,601.0
4111,2022-02-10,607.0,628.29,614.0,624.5
4110,2022-02-09,618.0607,639.5,625.5,619.0
4109,2022-02-08,606.0,635.0,616.5,622.0
4108,2022-02-07,620.0,638.0,632.0,620.0
4107,2022-02-04,632.5,650.0,636.5,643.0
4106,2022-02-03,640.5,657.7868,643.0,650.5
4105,2022-02-02,650.5,679.14,660.5,674.5
4104,2022-02-01,659.1901,690.0,668.0,669.5
4103,2022-01-31,624.4452,657.0,657.0,626.0
4102,2022-01-28,609.0,633.5,632.0,619.0
4101,2022-01-27,603.0,622.5,618.5,610.0
4100,2022-01-26,612.0,642.5,620.5,625.5
4099,2022-01-25,609.0,629.5,610.0,613.0
4098,2022-01-24,606.0,680.0,609.5,680.0
4097,2022-01-21,659.0,693.0,666.0,693.0
4096,2022-01-20,670.5,699.0,693.0,685.0
4095,2022-01-19,663.04,679.0,674.5,668.0
4094,2022-01-18,653.0,676.5,670.0,670.0
4093,2022-01-17,667.0,676.5,674.5,670.0
4092,2022-01-14,660.3288,682.0,670.0,675.5
4091,2022-01-13,675.5,691.0,677.0,689.0
4090,2022-01-12,687.0,697.6749,689.0,694.5
4089,2022-01-11,676.0,695.5,688.0,685.5
4088,2022-01-10,671.5,702.0,673.5,689.0
4087,2022-01-07,683.0,706.5,691.0,700.5
4086,2022-01-06,690.5,724.0,696.5,700.0
4085,2022-01-05,726.0,742.0,735.0,730.0
4084,2022-01-04,719.0,752.0,734.0,752.0
4083,2021-12-31,733.5,743.0,738.5,733.5
4082,2021-12-30,727.1457,744.5,738.0,744.5
4081,2021-12-29,714.5,743.0,732.5,739.5
4080,2021-12-24,712.5,727.5,723.0,723.5
4079,2021-12-23,708.5,724.5,717.0,724.5
4078,2021-12-22,700.0,724.5,712.5,700.0
4077,2021-12-21,706.0,726.5,713.0,722.5
4076,2021-12-20,704.0,721.0,721.0,720.0
4075,2021-12-17,692.0,717.0,715.0,692.0
4074,2021-12-16,695.0,708.5,696.5,708.5
4073,2021-12-15,681.5,700.5,694.5,700.0
4072,2021-12-14,693.0,730.0,694.5,730.0
4071,2021-12-13,713.5,733.5,716.5,730.0
4070,2021-12-10,719.0,729.9999,719.0,725.0
4069,2021-12-09,725.5,739.5,730.0,730.0
4068,2021-12-08,726.37,747.5,730.0,747.5
4067,2021-12-07,728.5,760.0,735.5,760.0
4066,2021-12-06,726.0,751.0,730.0,751.0
4065,2021-12-03,725.8362,760.5,735.0,748.0
4064,2021-12-02,736.0,770.0,739.5,770.0
4063,2021-12-01,749.5,787.5,749.5,783.0
4062,2021-11-30,763.0,818.0,770.0,818.0
4061,2021-11-29,773.0,798.0,780.0,782.5
4060,2021-11-26,726.9,760.0,755.0,740.5
4059,2021-11-25,736.5,771.5,750.5,762.0
4058,2021-11-24,736.0,770.0,758.5,736.0
4057,2021-11-23,716.0,773.5,750.0,735.0
4056,2021-11-22,730.5,781.3211,747.5,775.0
4055,2021-11-19,720.0,776.5,756.0,737.0
4054,2021-11-18,867.0053,895.0,875.5,880.5
4053,2021-11-17,855.5,889.5,883.0,855.5
4052,2021-11-16,853.0,890.75,862.0,870.0
4051,2021-11-15,849.0,875.5,873.5,861.0
4050,2021-11-12,851.0,901.0,864.5,901.0
4049,2021-11-11,845.5,873.0,857.0,863.5
4048,2021-11-10,863.5,882.5,866.5,873.5
4047,2021-11-09,869.5,893.0,874.5,872.5
4046,2021-11-08,868.0,895.5,877.5,887.0
4045,2021-11-05,888.0,940.0,888.0,940.0
4044,2021-11-04,871.83,914.0,902.0,896.5
4043,2021-11-03,869.5,901.5,896.5,880.0
4042,2021-11-02,865.5,895.0,877.5,895.0
4041,2021-11-01,886.5,903.5,889.5,890.0
