,Date,Low,High,Close,Open
4443,2022-08-03,88.28,91.39,90.79,88.34
4442,2022-08-02,87.798,89.73,87.8,88.16
4441,2022-08-01,88.84,90.77,89.04,89.57
4440,2022-07-29,88.18,90.899,89.27,88.36
4439,2022-07-28,84.44,88.36,86.44,87.51
4438,2022-07-27,87.07,88.81,87.37,88.36
4437,2022-07-26,87.69,93.64,87.69,91.32
4436,2022-07-25,90.96,93.09,91.95,92.18
4435,2022-07-22,91.4,94.17,92.6,92.18
4434,2022-07-21,91.4,94.1,92.35,93.03
4433,2022-07-20,91.561,94.8,92.03,94.8
4432,2022-07-19,90.27,94.415,93.85,91.38
4431,2022-07-18,88.41,92.77,92.19,88.41
4430,2022-07-15,84.85,90.49,89.79,85.48
4429,2022-07-14,85.12,89.58,85.32,88.51
4428,2022-07-13,87.14,90.2,88.58,88.65
4427,2022-07-12,85.13,88.78,88.78,85.13
4426,2022-07-11,83.9761,87.5497,86.74,85.5
4425,2022-07-08,85.08,87.52,87.13,86.22
4424,2022-07-07,82.33,85.72,85.26,82.33
4423,2022-07-06,79.3,82.93,82.12,79.3
4422,2022-07-05,79.12,88.0,79.12,88.0
4421,2022-07-04,85.95,88.53,86.54,86.48
4420,2022-07-01,81.76,87.66,86.08,82.64
4419,2022-06-30,81.77,83.98,82.95,82.83
4418,2022-06-29,84.02,86.52,84.2,85.92
4417,2022-06-28,82.7156,89.1,87.14,83.0
4416,2022-06-27,81.0,84.2,81.81,81.29
4415,2022-06-24,79.08,82.6825,80.94,82.17
4414,2022-06-23,81.85,86.03,81.85,86.0
4413,2022-06-22,84.57,89.72,86.11,89.72
4412,2022-06-21,90.83,93.0,90.83,92.36
4411,2022-06-20,87.4,91.87,91.5,88.46
4410,2022-06-17,84.53,90.43,87.71,87.11
4409,2022-06-16,86.54,90.5,87.09,90.11
4408,2022-06-15,87.71,91.7,90.69,87.71
4407,2022-06-14,85.77,89.67,87.92,87.57
4406,2022-06-13,85.71,89.89,86.17,87.56
4405,2022-06-10,87.99,90.8548,87.99,90.64
4404,2022-06-09,90.53,93.4077,91.69,91.96
4403,2022-06-08,92.22,94.22,92.39,92.22
4402,2022-06-07,91.38,93.27,91.86,91.5
4401,2022-06-06,89.03,93.81,92.92,90.0
4400,2022-06-01,87.31,89.78,88.73,87.92
4399,2022-05-31,86.14,89.598,86.69,88.4
4398,2022-05-30,87.04,89.99,88.99,88.43
4397,2022-05-27,85.1924,87.5,86.91,86.03
4396,2022-05-26,83.27,86.49,86.44,83.9
4395,2022-05-25,80.18,83.52,83.52,81.0
4394,2022-05-24,80.02,82.3194,80.08,82.21
4393,2022-05-23,82.04,84.8325,83.14,84.66
4392,2022-05-20,82.39,85.11,83.31,83.37
4391,2022-05-19,80.3928,83.65,83.03,83.22
4390,2022-05-18,81.22,86.13,84.78,81.65
4389,2022-05-17,78.91,81.55,81.21,81.21
4388,2022-05-16,80.67,84.25,80.68,84.0
4387,2022-05-13,81.24,84.77,83.85,82.0
4386,2022-05-12,78.31,83.27,81.38,79.63
4385,2022-05-11,77.865,81.88,80.5,78.91
4384,2022-05-10,78.14,80.7,78.25,79.76
4383,2022-05-09,78.5,80.71,78.5,80.2
4382,2022-05-06,78.44,82.0,80.31,81.5
4381,2022-05-05,81.69,86.22,81.74,85.24
4380,2022-05-04,83.22,85.42,83.22,85.4
4379,2022-05-03,82.2349,84.6,84.2,82.99
4378,2022-04-29,82.35,86.19,83.29,85.0
4377,2022-04-28,82.11,84.89,83.31,83.2
4376,2022-04-27,82.37,85.79,82.38,84.4
4375,2022-04-26,84.11,89.01,84.11,88.21
4374,2022-04-25,86.83,91.52,86.83,90.0
4373,2022-04-22,91.57,95.81,91.57,95.0
4372,2022-04-21,93.8,97.449,96.6,94.07
4371,2022-04-20,93.39,96.75,93.42,95.35
4370,2022-04-19,93.0,95.85,95.5,93.5
4369,2022-04-14,89.6,93.52,93.43,90.32
4368,2022-04-13,87.85,90.03,90.03,89.0
4367,2022-04-12,88.06,91.38,89.79,90.0
4366,2022-04-11,92.1384,96.82,95.0,94.18
4365,2022-04-08,94.28,96.5077,94.28,96.25
4364,2022-04-07,94.75,97.77,94.75,96.91
4363,2022-04-06,94.9,99.688,96.46,98.66
4362,2022-04-05,97.0,100.5396,98.66,100.12
4361,2022-04-04,98.0552,102.1572,100.36,101.24
4360,2022-04-01,99.2,101.76,99.37,101.2
4359,2022-03-31,99.72,105.3,101.1,103.98
4358,2022-03-30,99.57,103.384,103.06,101.94
4357,2022-03-29,97.61,104.16,102.38,99.42
4356,2022-03-28,96.848,103.67,98.38,100.2
4355,2022-03-25,91.03,111.0,110.14,92.33
4354,2022-03-24,90.38,93.35,92.3,92.14
4353,2022-03-23,92.06,95.5,92.06,94.78
4352,2022-03-22,92.19,94.95,94.79,93.5
4351,2022-03-21,92.1,94.011,93.1,93.83
4350,2022-03-18,90.9,94.81,93.18,94.81
4349,2022-03-17,90.89,96.19,94.18,95.24
4348,2022-03-16,93.2339,96.99,94.38,93.8
4347,2022-03-15,90.22,94.25,92.27,93.3
4346,2022-03-14,92.42,97.24,93.78,95.66
4345,2022-03-11,91.55,96.3,93.51,92.28
4344,2022-03-10,89.5,96.3792,91.73,95.58
4343,2022-03-09,93.09,98.635,94.38,93.09
4342,2022-03-08,85.5,94.82,91.38,86.0
4341,2022-03-07,83.4851,92.59,88.21,86.72
4340,2022-03-04,87.3,94.4707,90.23,93.32
4339,2022-03-03,94.65,99.3609,95.0,99.3
4338,2022-03-02,87.02,98.67,98.23,91.69
4337,2022-03-01,92.0,104.94,92.0,102.62
4336,2022-02-28,99.93,105.644,103.5,104.84
4335,2022-02-25,102.1,108.16,106.08,105.28
4334,2022-02-24,95.07,107.652,102.38,102.0
4333,2022-02-23,117.3,122.1,117.7,118.1
4332,2022-02-22,110.56,119.2,118.02,111.44
4331,2022-02-21,114.72,119.4,114.72,117.94
4330,2022-02-18,116.92,119.64,117.06,117.96
4329,2022-02-17,118.02,121.7,118.02,119.8
4328,2022-02-16,119.18,121.72,121.72,121.02
4327,2022-02-15,116.14,120.32,120.32,117.06
4326,2022-02-14,113.64,119.0,117.7,117.62
4325,2022-02-11,119.3312,122.12,120.9,121.1
4324,2022-02-10,119.66,122.72,122.72,120.06
4323,2022-02-09,117.92,121.14,119.86,118.34
4322,2022-02-08,114.7,117.78,117.22,115.0
4321,2022-02-07,113.24,115.58,115.58,114.6
4320,2022-02-04,111.94,117.98,113.6,117.5
4319,2022-02-03,114.62,117.32,116.66,114.94
4318,2022-02-02,115.02,118.36,115.2,118.0
4317,2022-02-01,115.14,117.24,117.22,115.54
4316,2022-01-31,112.78,115.58,114.5,114.78
4315,2022-01-28,111.52,115.2136,113.02,114.48
4314,2022-01-27,114.7,118.023,115.5,114.94
4313,2022-01-26,116.9,119.94,117.68,117.48
4312,2022-01-25,114.08,117.78,115.84,115.0
4311,2022-01-24,112.24,119.0,113.0,118.52
4310,2022-01-21,118.3935,123.52,119.72,123.5
4309,2022-01-20,122.78,124.86,123.72,123.94
4308,2022-01-19,122.78,125.16,123.14,124.48
4307,2022-01-18,123.34,127.06,125.66,126.0
4306,2022-01-17,125.44,126.98,125.9,126.66
4305,2022-01-14,125.16,126.6606,125.24,125.54
4304,2022-01-13,125.74,127.9,127.7,126.02
4303,2022-01-12,126.6,128.5,126.88,128.0
4302,2022-01-11,125.38,129.0013,127.0,128.1
4301,2022-01-10,126.22,129.62,127.66,127.48
4300,2022-01-07,123.46,127.5,127.14,126.6
4299,2022-01-06,125.0,129.38,126.28,125.48
4298,2022-01-05,124.94,128.8751,128.54,126.74
4297,2022-01-04,126.1,128.34,127.08,126.62
4296,2021-12-31,121.02,122.88,122.88,121.7
4295,2021-12-30,120.88,123.32,123.08,122.0
4294,2021-12-29,121.78,125.86,121.88,123.92
4293,2021-12-24,120.6781,123.24,121.62,122.02
4292,2021-12-23,118.32,123.8,120.84,118.48
4291,2021-12-22,114.7,118.34,118.34,114.88
4290,2021-12-21,111.36,114.86,114.56,113.46
4289,2021-12-20,107.12,112.6,110.48,112.3
4288,2021-12-17,112.72,115.94,114.3,113.3
4287,2021-12-16,112.92,117.54,113.38,116.4
